id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
50658,"Rua Água de Cheiro, Jardim Santo Inácio, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,JARDIM SANTO INACIO,,,-12.927335515335422,-38.461439860852046,"09/07/2022, 21:00:00",false,false,,Disputa,,Ataques armados sobre rodas,false,d6178e2f-3ef9-4f7f-a54a-0ebe4d90df20,People,dead,Sem identificação,"09/07/2022, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50658,"Rua Água de Cheiro, Jardim Santo Inácio, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,JARDIM SANTO INACIO,,,-12.927335515335422,-38.461439860852046,"09/07/2022, 21:00:00",false,false,,Disputa,,Ataques armados sobre rodas,false,a44c3074-2af2-4bcb-b55b-c3e1d7ce7787,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50641,"Rua Sao Raimundo - Nordeste, Salvador - BA, 41905-805, Brasil",Nordeste,Bahia,SALVADOR,NORDESTE DE AMARALINA,,,-13.0078413,-38.47704,"10/07/2022, 11:00:00",true,true,N�o identificado,Ação policial,,,false,4714b3cc-61a2-4ca8-9e8a-6950fe099848,People,wounded,Sem identificação,,Agent,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,não identificado,em serviço,40ª Companhia Independente de Polícia Militar (CIPM)
50648,"Rua Paracaína - São Marcos, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,SAO MARCOS,,,-12.9205996,-38.441439,"10/07/2022, 19:30:00",false,false,,Homicidio/Tentativa,,,false,2238e850-aa65-4441-aa7c-e24c613cb263,People,dead,Sem identificação,"10/07/2022, 19:30:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50683,"Rua Benedito Jenkis - Águas Claras, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,AGUAS CLARAS,,,-12.8941504,-38.4353517,"12/07/2022, 11:10:00",false,false,,Homicidio/Tentativa,,,false,79f11167-0477-4589-9a4a-6f01144fa473,People,dead,Sem identificação,"12/07/2022, 11:10:00",Civilian,36,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50694,"Av. Voluntários da Pátria - Lobato, Salvador - BA, 40387-485, Brasil",Nordeste,Bahia,SALVADOR,LOBATO,,,-12.9238865,-38.48317979999999,"12/07/2022, 20:50:00",false,false,,Disputa,,,false,0c03cd63-e963-44dc-b0e2-120452452290,People,dead,Sem identificação,"12/07/2022, 20:50:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50727,"Rua Clemente Pereira - Garcia, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,GARCIA,,,-12.990691,-38.5101662,"14/07/2022, 07:30:00",false,false,,Homicidio/Tentativa,,,false,1f7c061f-ff30-4072-906b-3115234b0526,People,dead,Sem identificação,"14/07/2022, 07:30:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50761,"Periperi, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,PERIPERI,,,-12.861560450182745,-38.47494357141114,"14/07/2022, 16:10:00",true,true,PM,Ação policial,,Perseguição,false,f3ef04c1-314e-4c1e-b4d7-539b96729fba,People,dead,Sem identificação,"14/07/2022, 16:10:00",Civilian,27,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50838,"Coutos, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,COUTOS,,,-12.8557388,-38.464477,"14/07/2022, 17:00:00",true,true,RONDESP,Ação policial,,,false,3da427ad-ecf0-4934-949f-4c05f59f0ea0,People,dead,Sem identificação,"14/07/2022, 17:00:00",Civilian,22,adulto,homem cis,Negra,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50752,"R. Bahia - Tancredo Neves, Salvador - BA, 41210-000, Brasil",Nordeste,Bahia,SALVADOR,BEIRU/TANCREDO NEVES,,,-12.94568100702697,-38.447273550926205,"14/07/2022, 18:45:00",false,false,,Homicidio/Tentativa,,Ataques armados sobre rodas,false,4fbf6393-3c03-4946-8d70-914dc960b86b,People,dead,Sem identificação,"14/07/2022, 18:45:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50800,"Rua Padre Eloi - Acupe de Brotas - Brotas, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,BROTAS,ACUPE DE BROTAS,,-12.9931985,-38.4941577,"16/07/2022, 21:00:00",true,true,RONDESP,Ação policial,,,true,17783d3c-bbbe-4398-8882-fb173bff0948,People,dead,Chacina,"16/07/2022, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
